size,lambda,activity_mean,chi_times_N2
250.0,0.85,0.8474392546800047,5.494411190289452
250.0,0.851,0.8457612857999991,5.864422457571313
250.0,0.852,0.8441624573466626,5.697683561769625
250.0,0.853,0.8414642361200029,6.013827463839285
250.0,0.854,0.8293962268533284,6.751748255225
250.0,0.855,0.8106325225200023,10.252990760174999
250.0,0.856,0.7952113740266622,9.222241740462499
250.0,0.857,0.7828592312399968,8.562340114187501
250.0,0.858,0.7746165523333364,11.0267679936875
250.0,0.859,0.7672452935199986,13.13431104905625
250.0,0.86,0.7449472940933337,12.50143722316875
250.0,0.861,0.7085986909066687,14.2308940277
250.0,0.862,0.6631975087333323,17.97096208735
250.0,0.863,0.6226653145466639,23.41089758439375
250.0,0.864,0.6169517488000014,24.5780205515875
250.0,0.865,0.592111321533334,34.100228861537495
250.0,0.866,0.533007995559999,47.9780574996875
250.0,0.867,0.4289833407333333,44.5314980155875
250.0,0.868,0.4095976548799989,75.29820108834376
250.0,0.869,0.4087160392266674,65.771180144975
250.0,0.87,0.3643175452133342,57.0641435865125
250.0,0.871,0.2302256008800004,102.58476601460625
250.0,0.872,0.1621375294266685,122.02734063895625
250.0,0.873,0.2319180648400003,77.99437521039374
250.0,0.874,0.2280075029999993,88.28692880159376
250.0,0.875,0.0038720000000009,-7.78582825159649e-13
250.0,0.876,0.0054719999999983,1.1192995516778198e-12
250.0,0.877,0.0050240000000016,-7.45621431046384e-13
250.0,0.878,0.0048319999999979,1.6822454669280564e-12
250.0,0.879,0.0047040000000001,3.9345495709939487e-13
250.0,0.88,0.0035519999999994,1.7348102164876317e-16
250.0,0.881,0.0049920000000011,-2.283010244897723e-13
250.0,0.882,0.004959999999998,1.4830892540752762e-12
250.0,0.883,0.0046399999999988,8.035640922770709e-13
250.0,0.884,0.0041279999999995,4.2520198406111846e-13
250.0,0.885,0.0044479999999977,9.75657265752644e-13
250.0,0.886,0.0040479999999985,1.0951856896686416e-12
250.0,0.887,0.0037439999999987,5.490674335183354e-13
250.0,0.888,0.0054080000000017,-1.2660644959926736e-12
250.0,0.889,0.0054080000000017,-1.2660644959926736e-12
250.0,0.89,0.0054328874666656,0.00010114338846680238
250.0,0.891,0.0047679999999988,1.2542677865205575e-13
250.0,0.892,0.0044479999999977,9.75657265752644e-13
250.0,0.893,0.0048160000000014,-1.8441032601263525e-13
250.0,0.894,0.0040800000000008,-9.256947315178e-13
250.0,0.895,0.0044479999999977,9.75657265752644e-13
250.0,0.896,0.0031359999999991,5.279027488771862e-13
250.0,0.897,0.0044800000000006,-1.9377830118166844e-13
250.0,0.898,0.0043840000000013,-1.2284191142948919e-12
250.0,0.899,0.0038080000000005,6.401449698839361e-14
250.0,0.9,0.0035839999999988,2.8572324265551295e-13
500.0,0.85,0.8483329744900039,5.538204631188318
500.0,0.851,0.8458794245333289,5.6392143284131455
500.0,0.852,0.8442682031266658,6.428490516126272
500.0,0.853,0.8411899038800007,5.781209158803573
500.0,0.854,0.8294619485133364,7.333134760321492
500.0,0.855,0.8106474104766664,6.863912874656204
500.0,0.856,0.7935788964733307,8.375551072039922
500.0,0.857,0.7823385854999982,10.059553858738488
500.0,0.858,0.7724822770366723,11.257146796278816
500.0,0.859,0.7658079205866686,13.401095504074496
500.0,0.86,0.7449607455599989,13.133819342082633
500.0,0.861,0.7045415082433357,18.577359495783593
500.0,0.862,0.6638259977033342,21.16450257963981
500.0,0.863,0.6183800253866654,24.891878935230874
500.0,0.864,0.6155012293533347,27.09597475315
500.0,0.865,0.5940304153966682,33.641090868625
500.0,0.866,0.534189931636667,38.9565300206
500.0,0.867,0.4323332680533333,67.009400998025
500.0,0.868,0.4065334094333362,41.21257428325
500.0,0.869,0.410778075516669,53.794447781624996
500.0,0.87,0.3706435535633341,66.34434714435
500.0,0.871,0.2364915733566655,174.899544386675
500.0,0.872,0.1573423564833341,80.01534234165
500.0,0.873,0.2243741125199999,74.416553241175
500.0,0.874,0.2321077557866679,92.6022914628
500.0,0.875,0.0055279999999989,3.4154943542208495e-12
500.0,0.876,0.0051542229333329,2.5283950959766e-05
500.0,0.877,0.0048440000000012,-4.788076197505863e-12
500.0,0.878,0.0044840000000009,-8.757321972829564e-13
500.0,0.879,0.0051600000000003,-1.503039571564884e-12
500.0,0.88,0.0042680000000001,8.44505613386179e-13
500.0,0.881,0.004947999999999,3.9047108352703604e-12
500.0,0.882,0.0045319999999985,4.994171651224593e-12
500.0,0.883,0.0048560000000002,7.667861156875331e-13
500.0,0.884,0.0042119999999997,-4.635412898454953e-13
500.0,0.885,0.0044359999999986,4.291226551503805e-12
500.0,0.886,0.0042760000000003,1.4322593147321887e-12
500.0,0.887,0.0044160000000012,-2.3711386038952952e-12
500.0,0.888,0.0049240000000016,-1.9013519972704442e-12
500.0,0.889,0.0049879999999983,2.5418439291976773e-12
500.0,0.89,0.0039759999999998,-3.927610330127998e-13
500.0,0.891,0.0046519999999978,3.684736899819729e-12
500.0,0.892,0.0044199999999999,1.4142172884807174e-12
500.0,0.893,0.0046839999999984,5.297416477066632e-12
500.0,0.894,0.0046040000000004,-2.4662062037588174e-12
500.0,0.895,0.0046880000000012,-2.6417689976673646e-12
500.0,0.896,0.0043639999999995,-1.1054210699459187e-12
500.0,0.897,0.0045559999999985,5.8761491652869044e-12
500.0,0.898,0.0048879999999984,2.1282651735870263e-12
500.0,0.899,0.0041680000000016,-3.160824214440465e-12
500.0,0.9,0.0044680000000016,-4.9719660804535525e-12
750.0,0.85,0.8485423319318496,5.722999495429394
750.0,0.851,0.8456702299022194,5.9337532377892925
750.0,0.852,0.8441255141896296,6.268336549904845
750.0,0.853,0.8408032555807383,6.954619131487417
750.0,0.854,0.8292871564888871,6.935057052970434
750.0,0.855,0.8112886579066652,8.121871640017048
750.0,0.856,0.7928918163600044,9.970123720652794
750.0,0.857,0.7811198871807394,10.146804297951821
750.0,0.858,0.7733232697318501,9.06463589534808
750.0,0.859,0.7650939469422217,12.408564780037507
750.0,0.86,0.7460420912429637,12.471505406118009
750.0,0.861,0.7052739414548205,18.178617485417686
750.0,0.862,0.6634969054681473,20.635350100138943
750.0,0.863,0.6194551352977754,24.62824901591215
750.0,0.864,0.6143423980740778,24.84788365603972
750.0,0.865,0.5928746258459305,28.551658469611635
750.0,0.866,0.5342591367881494,34.96113151031708
750.0,0.867,0.4322163159792565,51.557845683459824
750.0,0.868,0.4048894177525913,48.22185910945751
750.0,0.869,0.4109943068311097,56.3098337991
750.0,0.87,0.3717091212429651,55.357630983683485
750.0,0.871,0.2307131700844438,66.2356124739
750.0,0.872,0.1605937599911104,109.80149762463749
750.0,0.873,0.2151409298622229,156.29494159816875
750.0,0.874,0.2227860179555547,145.55035543786875
750.0,0.875,0.0738486618474076,62.23755909178125
750.0,0.876,0.0044248888888903,-4.134399707933323e-12
750.0,0.877,0.0046666666666655,9.377343144202245e-12
750.0,0.878,0.0045760000000001,-2.523107978859611e-12
750.0,0.879,0.0045226666666685,-5.4240576228702285e-12
750.0,0.88,0.0048462222222232,-8.079878583291144e-12
750.0,0.881,0.0046427652740745,1.1238151438368373e-05
750.0,0.882,0.0044835555555534,1.4229954281761445e-11
750.0,0.883,0.0049084444444432,1.1018300127977895e-11
750.0,0.884,0.0044373333333324,2.654259631226076e-13
750.0,0.885,0.005011555555555,2.60741975538091e-12
750.0,0.886,0.0044728888888881,3.661316961897146e-12
750.0,0.887,0.0045333333333322,1.4754560891227307e-12
750.0,0.888,0.0046204444444425,8.321884608491168e-12
750.0,0.889,0.0047040000000001,3.5410946138945535e-12
750.0,0.89,0.0041653333333329,-8.743443491097662e-13
750.0,0.891,0.004823111111109,1.6526669527369423e-11
750.0,0.892,0.0042702222222217,8.259431440697614e-13
750.0,0.893,0.0041831111111124,-3.789345955873934e-12
750.0,0.894,0.0044764444444454,-5.730078145058648e-13
750.0,0.895,0.0046222222222231,-8.471772211195697e-12
750.0,0.896,0.004425876385186,1.1238148962100269e-05
750.0,0.897,0.0046364444444437,9.825444623120997e-12
750.0,0.898,0.0047217777777757,9.82388329392616e-12
750.0,0.899,0.0048400986074075,1.1238158892153949e-05
750.0,0.9,0.0046399999999988,7.232076830493638e-12
1024.0,0.85,0.8480501611510936,6.204107432372809
1024.0,0.851,0.8457357494242987,5.6594335477920445
1024.0,0.852,0.8443394099529531,6.496077926130651
1024.0,0.853,0.8412892996342991,6.830533914276585
1024.0,0.854,0.8300479330587394,7.02563906815107
1024.0,0.855,0.8112564037330956,7.606051581341885
1024.0,0.856,0.7930100843787182,10.256726211402123
1024.0,0.857,0.7806716476718626,11.012821409712911
1024.0,0.858,0.7735352698365909,10.35720984342903
1024.0,0.859,0.7659310384289445,10.748407421114921
1024.0,0.86,0.7455591599345209,14.562244226350874
1024.0,0.861,0.7058109576622663,15.663973182885371
1024.0,0.862,0.6630866800800952,25.238340512377793
1024.0,0.863,0.6201736275132465,30.886754070808248
1024.0,0.864,0.6152124168658266,25.480998224553794
1024.0,0.865,0.5936961515227972,32.94851002401576
1024.0,0.866,0.5333834763828954,32.7800937546534
1024.0,0.867,0.4325508972485858,54.71624624953877
1024.0,0.868,0.4059413222821547,53.77390643502302
1024.0,0.869,0.4088704543789233,60.17434110023468
1024.0,0.87,0.3695979960560825,46.74171261158197
1024.0,0.871,0.2340405920489626,133.2593485580075
1024.0,0.872,0.1448426562809946,204.56320788405944
1024.0,0.873,0.2129626183827722,135.22604751123907
1024.0,0.874,0.2252648484675093,83.54791446527044
1024.0,0.875,0.0978283529504139,59.21571130197229
1024.0,0.876,0.0049057006835937,0.0
1024.0,0.877,0.0048341751098632,0.0
1024.0,0.878,0.0044879913330078,0.0
1024.0,0.879,0.0048074722290039,0.0
1024.0,0.88,0.0049819946289062,0.0
1024.0,0.881,0.0049428939819335,0.0
1024.0,0.882,0.0046606063842773,0.0
1024.0,0.883,0.0046100616455078,0.0
1024.0,0.884,0.0046377182006835,0.0
1024.0,0.885,0.004521369934082,0.0
1024.0,0.886,0.0046644210815429,0.0
1024.0,0.887,0.0045146942138671,0.0
1024.0,0.888,0.0047855377197265,0.0
1024.0,0.889,0.0046968460083007,0.0
1024.0,0.89,0.0048561096191406,0.0
1024.0,0.891,0.0047025680541992,0.0
1024.0,0.892,0.0043869018554687,0.0
1024.0,0.893,0.0045099258422851,0.0
1024.0,0.894,0.004796028137207,0.0
1024.0,0.895,0.0047035217285156,0.0
1024.0,0.896,0.0044527053833007,0.0
1024.0,0.897,0.0045419270833328,6.028162528072869e-06
1024.0,0.898,0.0044904286702469,6.028162452399126e-06
1024.0,0.899,0.0047250322977695,6.028615019218388e-06
1024.0,0.9,0.0046243667602539,0.0
